County,Region
Imperial,Southern California
Inyo,Southern California
Los Angeles,Southern California
Mono,Southern California
Orange,Southern California
Riverside,Southern California
San Bernardino,Southern California
San Diego,Southern California
San Luis Obispo,Southern California
Santa Barbara,Southern California
Ventura,Southern California
Calaveras,San Joaquin Valley
Fresno,San Joaquin Valley
Kern,San Joaquin Valley
Kings,San Joaquin Valley
Madera,San Joaquin Valley
Mariposa,San Joaquin Valley
Merced,San Joaquin Valley
San Benito,San Joaquin Valley
San Joaquin,San Joaquin Valley
Stanislaus,San Joaquin Valley
Tulare,San Joaquin Valley
Tuolumne,San Joaquin Valley
Del Norte,Northern California
Glenn,Northern California
Humboldt,Northern California
Lake,Northern California
Lassen,Northern California
Mendocino,Northern California
Modoc,Northern California
Shasta,Northern California
Siskiyou,Northern California
Tehama,Northern California
Trinity,Northern California
Alpine,Greater Sacramento
Amador,Greater Sacramento
Butte,Greater Sacramento
Colusa,Greater Sacramento
El Dorado,Greater Sacramento
Nevada,Greater Sacramento
Placer,Greater Sacramento
Plumas,Greater Sacramento
Sacramento,Greater Sacramento
Sierra,Greater Sacramento
Sutter,Greater Sacramento
Yolo,Greater Sacramento
Yuba,Greater Sacramento
Alameda,Bay Area
Contra Costa,Bay Area
Marin,Bay Area
Monterey,Bay Area
Napa,Bay Area
San Francisco,Bay Area
San Mateo,Bay Area
Santa Clara,Bay Area
Santa Cruz,Bay Area
Solano,Bay Area
Sonoma,Bay Area
